,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
833,within an hour,1.0,0.96,0.0,14.0,14.0,1.0,1.0,Central,40.73504,-74.17638,Entire rental unit,Entire home/apt,4,1 bath,,3.0,152.0,3,1125,3,3,1125,1125,3.0,1125.0,1,5,29,29,29,4,4,2,5.0,5.0,5.0,4.5,5.0,3.5,4.25,1,5,5,0,0,2.35
834,within an hour,1.0,1.0,0.0,0.0,0.0,0.0,0.0,West,40.73893,-74.23684,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,85.0,14,1125,14,14,1125,1125,14.0,1125.0,1,0,0,12,102,2,2,1,3.0,3.5,3.5,5.0,3.5,3.0,3.0,0,1,1,0,0,1.05
835,within an hour,1.0,1.0,1.0,3.0,3.0,1.0,0.0,Central,40.75479,-74.17533,Private room in condo,Private room,1,1 private bath,1.0,1.0,68.0,1,365,1,1,1125,1125,1.0,1125.0,1,0,26,56,331,14,14,2,4.86,5.0,5.0,4.93,5.0,4.93,5.0,1,2,0,2,0,4.38
836,,,,0.0,59.0,59.0,1.0,1.0,Central,40.76043,-74.17087,Private room in home,Private room,2,1 shared bath,1.0,1.0,36.0,1,365,1,1,365,365,1.0,365.0,1,14,44,74,349,5,5,1,3.6,3.0,4.0,3.6,3.8,3.4,4.0,1,42,4,38,0,1.63
837,within an hour,1.0,0.97,0.0,10.0,10.0,1.0,1.0,South,40.71317,-74.20887,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,113.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,7,272,9,9,5,4.89,5.0,5.0,5.0,5.0,3.56,4.89,1,1,1,0,0,6.75
838,within an hour,1.0,1.0,1.0,8.0,8.0,1.0,1.0,Central,40.73867,-74.16774,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,303.0,2,365,2,2,365,365,2.0,365.0,1,19,49,79,354,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,11,11,0,0,0.33
839,within an hour,1.0,0.97,1.0,0.0,0.0,1.0,1.0,East,40.72677,-74.16946,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,159.0,3,1125,3,3,1125,1125,3.0,1125.0,1,19,49,79,354,5,5,1,5.0,5.0,5.0,5.0,5.0,4.6,5.0,0,2,2,0,0,2.11
840,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.7486,-74.1893,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,50.0,1,14,1,1,1125,1125,1.0,1125.0,1,24,54,84,84,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0,20,0,20,0,0.38
841,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,0.0,South,40.7243,-74.20525,Private room in bed and breakfast,Private room,1,1 private bath,1.0,1.0,33.0,1,365,1,1,365,365,1.0,365.0,1,0,0,0,201,3,3,0,4.67,5.0,4.67,5.0,5.0,4.67,5.0,0,1,0,1,0,1.11
842,within an hour,1.0,0.8,0.0,0.0,0.0,1.0,1.0,South,40.72792,-74.21333,Entire home,Entire home/apt,6,2 baths,3.0,3.0,149.0,2,1125,2,2,1125,1125,2.0,1125.0,1,11,38,68,68,5,5,3,4.6,4.6,4.8,4.8,4.8,4.0,4.6,0,1,1,0,0,2.88
843,within an hour,1.0,0.97,0.0,0.0,0.0,1.0,1.0,South,40.72819,-74.20583,Entire rental unit,Entire home/apt,10,1 bath,4.0,5.0,302.0,2,29,1,2,1125,1125,1.3,1125.0,1,16,42,68,342,14,14,4,4.93,4.93,5.0,4.93,4.93,4.14,4.93,1,1,1,0,0,5.32
844,within a few hours,1.0,0.78,0.0,0.0,0.0,1.0,1.0,North,40.75973,-74.17828,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,50.0,5,1125,5,5,1125,1125,5.0,1125.0,1,18,40,61,336,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,1,2,0,0.94
845,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,0.0,West,40.744804,-74.197182,Entire home,Entire home/apt,4,1.5 baths,2.0,2.0,158.0,2,90,2,2,1125,1125,2.0,1125.0,1,25,51,81,356,7,7,2,4.43,4.71,4.14,5.0,5.0,3.71,4.57,0,1,1,0,0,3.28
846,within an hour,0.94,0.99,1.0,10.0,10.0,1.0,1.0,West,40.74026,-74.20685,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,62.0,1,365,1,1,365,365,1.0,365.0,1,25,55,85,360,15,15,6,4.73,4.93,4.8,4.8,4.73,3.87,4.73,1,9,2,6,1,5.29
847,within an hour,0.94,0.99,1.0,10.0,10.0,1.0,1.0,West,40.73853,-74.20818,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,61.0,1,365,1,1,365,365,1.0,365.0,1,28,58,88,363,14,14,3,4.86,4.86,4.71,4.71,4.93,4.21,4.86,1,9,2,6,1,5.6
848,within an hour,0.94,0.99,1.0,10.0,10.0,1.0,1.0,West,40.73834,-74.20805,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,60.0,1,365,1,1,365,365,1.0,365.0,1,20,50,80,355,4,4,1,5.0,5.0,5.0,5.0,5.0,4.75,5.0,1,9,2,6,1,1.41
849,within an hour,0.97,0.93,0.0,0.0,0.0,1.0,1.0,West,40.74626,-74.2074,Entire guesthouse,Entire home/apt,8,2 baths,3.0,6.0,150.0,1,1125,1,1,1125,1125,1.0,1125.0,1,1,4,12,254,4,4,3,5.0,5.0,5.0,5.0,5.0,4.75,5.0,1,2,2,0,0,3.33
850,within a few hours,0.8,0.92,1.0,2.0,2.0,1.0,1.0,East,40.72294,-74.17386,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,169.0,2,365,2,2,1125,1125,2.0,1125.0,1,1,1,1,263,3,3,1,4.33,4.67,3.67,5.0,3.33,4.67,4.33,0,3,3,0,0,2.0
851,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.72333,-74.19273,Entire home,Entire home/apt,4,1 bath,2.0,2.0,180.0,2,1125,2,2,1125,1125,2.0,1125.0,1,17,33,63,338,6,6,4,5.0,5.0,4.67,4.83,5.0,4.67,4.83,1,3,1,2,0,2.28
852,within a day,0.81,0.71,0.0,0.0,0.0,1.0,1.0,Central,40.76085,-74.17043,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,100.0,1,365,1,1,365,365,1.0,365.0,1,11,33,59,330,9,9,6,4.67,4.78,5.0,4.78,4.78,4.44,4.33,0,1,1,0,0,6.92
853,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68736,-74.20013,Private room in rental unit,Private room,2,1 bath,1.0,1.0,48.0,1,365,1,1,1125,1125,1.0,1125.0,1,24,54,84,359,13,13,2,4.23,4.38,4.08,4.38,3.69,4.0,4.46,1,10,2,8,0,4.81
854,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74537,-74.19686,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,80.0,7,365,7,7,365,365,7.0,365.0,1,20,50,80,355,0,0,0,,,,,,,,1,57,40,17,0,
855,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.712128,-74.213249,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,67.0,1,180,1,2,1125,1125,1.3,1125.0,1,30,60,90,365,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,12,0,12,0,0.43
856,within a few hours,0.9,0.76,0.0,32.0,32.0,1.0,1.0,West,40.74203,-74.19375,Private room in home,Private room,2,1 shared bath,1.0,1.0,68.0,1,365,1,1,365,365,1.0,365.0,1,0,26,56,331,3,3,0,4.67,5.0,5.0,5.0,5.0,5.0,4.67,0,30,0,28,2,1.22
857,within an hour,1.0,0.99,1.0,2.0,2.0,1.0,0.0,Central,40.73348,-74.17713,Entire rental unit,Entire home/apt,6,2 baths,1.0,2.0,250.0,3,365,3,3,365,365,3.0,365.0,1,6,6,6,248,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,3,3,0,0,0.48
858,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,East,40.72315,-74.15339,Entire townhouse,Entire home/apt,6,1 bath,3.0,4.0,134.0,3,30,2,3,1125,1125,3.0,1125.0,1,2,13,33,297,1,1,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,1,0,0,1.0
859,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.71125,-74.21272,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,66.0,1,365,1,2,1125,1125,1.3,1125.0,1,22,52,82,357,5,5,1,4.2,4.6,4.8,4.8,4.8,4.0,4.0,1,12,0,12,0,1.97
860,within an hour,1.0,0.95,0.0,3.0,3.0,1.0,1.0,South,40.71269,-74.21284,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,70.0,1,365,1,2,1125,1125,1.3,1125.0,1,28,58,88,362,5,5,2,4.6,4.8,4.8,5.0,4.6,5.0,4.4,1,6,0,6,0,2.17
861,within an hour,1.0,0.95,0.0,3.0,3.0,1.0,1.0,South,40.71276,-74.21402,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,67.0,1,365,1,2,365,365,1.3,365.0,1,29,59,89,364,0,0,0,,,,,,,,0,6,0,6,0,
862,within an hour,1.0,0.95,0.0,3.0,3.0,1.0,1.0,South,40.71119,-74.21275,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,70.0,1,180,1,3,1125,1125,1.4,1125.0,1,26,56,86,361,6,6,2,3.17,3.33,3.17,3.67,3.5,3.5,3.0,1,6,0,6,0,2.81
863,within a day,0.8,1.0,0.0,1.0,1.0,1.0,1.0,Central,40.75191,-74.18619,Entire rental unit,Entire home/apt,6,1 bath,3.0,3.0,162.0,2,365,2,2,365,365,2.0,365.0,1,20,50,80,355,1,1,0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0,1,1,0,0,0.46
864,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.71186,-74.21302,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,72.0,1,90,1,2,1125,1125,1.3,1125.0,1,27,57,87,361,4,4,0,3.75,4.25,4.5,5.0,4.75,4.0,4.25,1,12,0,12,0,1.62
865,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.7232,-74.19443,Private room in home,Private room,2,1 shared bath,1.0,1.0,95.0,2,1125,2,2,1125,1125,2.0,1125.0,1,16,32,62,337,0,0,0,,,,,,,,1,3,1,2,0,
866,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.72229,-74.19225,Private room in home,Private room,2,1 shared bath,1.0,1.0,95.0,2,1125,2,2,1125,1125,2.0,1125.0,1,16,32,62,337,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,3,1,2,0,1.18
867,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.71289,-74.21309,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,58.0,1,180,1,2,1125,1125,1.1,1125.0,1,9,39,69,344,5,5,1,4.8,5.0,4.8,5.0,5.0,4.6,5.0,1,12,0,12,0,2.31
868,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.71294,-74.21386,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,59.0,1,180,1,2,1125,1125,1.3,1125.0,1,0,0,7,282,8,8,2,3.88,4.25,3.63,4.13,3.88,3.88,4.0,1,12,0,12,0,3.43
869,within an hour,1.0,0.98,1.0,0.0,0.0,1.0,1.0,South,40.71183,-74.20821,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,108.0,6,60,6,6,60,60,6.0,60.0,1,26,56,86,176,1,1,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1,5,2,3,0,0.47
870,within an hour,1.0,1.0,0.0,2.0,2.0,1.0,1.0,East,40.7285,-74.15471,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,125.0,1,1125,1,1,1125,1125,1.0,1125.0,1,13,43,69,336,27,27,10,4.93,4.85,4.93,4.93,5.0,4.67,4.81,1,1,1,0,0,13.06
871,within an hour,0.96,0.85,0.0,9.0,9.0,1.0,1.0,North,40.774471,-74.182365,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,86.0,1,365,1,1,1125,1125,1.0,1125.0,1,8,38,68,343,4,4,2,4.25,4.5,4.75,5.0,4.75,4.25,4.25,0,4,3,1,0,3.0
872,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.74617,-74.18613,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,26.0,1,365,1,1,365,365,1.0,365.0,1,11,33,54,316,22,22,11,4.23,4.41,4.36,4.55,4.45,4.23,4.5,1,20,0,20,0,9.43
873,within a day,0.7,0.78,0.0,1.0,1.0,1.0,1.0,West,40.74646,-74.19773,Private room in home,Private room,2,1 shared bath,1.0,1.0,64.0,1,365,1,1,365,365,1.0,365.0,1,28,58,88,363,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.59
874,within a few hours,1.0,1.0,0.0,0.0,0.0,1.0,0.0,West,40.739323,-74.20713,Entire rental unit,Entire home/apt,1,1 bath,2.0,2.0,75.0,3,100,3,3,100,100,3.0,100.0,1,0,0,22,112,4,4,1,4.75,5.0,5.0,4.75,5.0,4.5,4.75,0,1,1,0,0,2.45
875,within an hour,1.0,0.92,0.0,3.0,3.0,0.0,1.0,South,40.71732,-74.207,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,50.0,1,365,1,1,365,365,1.0,365.0,1,29,59,89,364,4,4,1,3.75,5.0,4.25,3.75,4.0,4.25,3.75,0,3,0,3,0,1.9
876,within an hour,1.0,0.92,0.0,3.0,3.0,0.0,1.0,South,40.71748,-74.20755,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,55.0,1,365,1,1,365,365,1.0,365.0,1,26,56,86,361,8,8,3,4.13,4.13,4.13,3.88,3.88,3.63,3.63,0,3,0,3,0,3.58
877,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,East,40.72264,-74.14647,Private room in condo,Private room,2,1 shared bath,1.0,1.0,49.0,1,365,1,1,365,365,1.0,365.0,1,16,46,76,351,0,0,0,,,,,,,,1,1,0,1,0,
878,within an hour,1.0,0.81,0.0,2.0,2.0,1.0,1.0,North,40.76991,-74.16055,Entire rental unit,Entire home/apt,4,2 baths,3.0,3.0,128.0,2,1125,2,2,1125,1125,2.0,1125.0,1,3,31,61,151,5,5,3,4.0,4.4,4.2,3.6,4.2,3.4,4.6,1,1,1,0,0,4.05
879,within an hour,1.0,1.0,0.0,14.0,14.0,1.0,0.0,Central,40.75059,-74.17013,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,165.0,1,365,1,2,365,365,1.9,365.0,1,27,57,87,248,2,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,3,3,0,0,1.02
880,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,South,40.71147,-74.21371,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,57.0,1,180,1,2,1125,1125,1.3,1125.0,1,22,52,82,357,3,3,0,2.33,2.0,2.33,3.33,3.33,1.67,2.0,1,12,0,12,0,1.55
881,within an hour,1.0,1.0,0.0,1.0,1.0,1.0,1.0,West,40.74112,-74.19505,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,85.0,3,30,3,3,1125,1125,3.0,1125.0,1,16,37,67,342,6,6,4,4.83,5.0,5.0,5.0,4.83,4.33,4.5,1,1,0,1,0,3.1
882,within an hour,1.0,0.86,1.0,0.0,0.0,1.0,1.0,North,40.77551,-74.16554,Private room in home,Private room,2,1 shared bath,1.0,1.0,53.0,2,365,2,2,1125,1125,2.0,1125.0,1,0,0,0,260,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0,2,0,1.03
883,within an hour,0.91,1.0,0.0,6.0,6.0,1.0,1.0,South,40.72635,-74.20906,Entire rental unit,Entire home/apt,9,1 bath,3.0,3.0,181.0,1,365,1,1,365,365,1.0,365.0,1,21,26,50,325,3,3,3,3.67,3.67,3.67,3.67,3.67,3.67,3.67,1,4,2,2,0,3.0
884,within an hour,1.0,0.99,0.0,4.0,4.0,1.0,1.0,South,40.72339,-74.18674,Entire townhouse,Entire home/apt,10,1.5 baths,3.0,3.0,350.0,1,28,1,1,1125,1125,1.0,1125.0,1,20,46,76,351,3,3,1,4.0,3.67,4.33,5.0,5.0,3.67,4.0,1,2,2,0,0,2.37
885,within an hour,1.0,0.92,0.0,3.0,3.0,0.0,1.0,South,40.718391,-74.207504,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,52.0,1,1125,1,1,1125,1125,1.0,1125.0,1,20,50,80,355,3,3,2,4.67,5.0,5.0,5.0,5.0,4.67,5.0,0,3,0,3,0,2.37
886,,,,0.0,1.0,1.0,0.0,0.0,South,40.71761,-74.21096,Private room in casa particular,Private room,3,1 private bath,1.0,2.0,71.0,1,1125,1,1,1125,1125,1.0,1125.0,1,24,54,84,359,3,3,3,5.0,5.0,5.0,5.0,3.67,4.67,5.0,0,1,0,1,0,3.0
887,within an hour,1.0,1.0,1.0,0.0,0.0,1.0,1.0,South,40.71249,-74.1959,Private room in rental unit,Private room,4,1 shared bath,1.0,2.0,150.0,1,365,1,1,1125,1125,1.0,1125.0,1,3,32,62,337,0,0,0,,,,,,,,1,4,0,4,0,
888,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Central,40.74575,-74.18258,Entire loft,Entire home/apt,7,1 bath,2.0,6.0,212.0,1,1125,1,2,7,1125,1.3,1119.9,1,13,34,64,339,0,0,0,,,,,,,,1,2,2,0,0,
889,within a few hours,1.0,0.8,0.0,0.0,0.0,1.0,1.0,Central,40.73502,-74.18335,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,82.0,4,20,4,4,20,20,4.0,20.0,1,3,8,24,113,0,0,0,,,,,,,,0,1,1,0,0,
890,within an hour,1.0,0.98,1.0,0.0,0.0,1.0,1.0,Central,40.738075,-74.167084,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,150.0,1,28,1,1,1125,1125,1.0,1125.0,1,24,54,84,359,3,3,1,5.0,4.67,5.0,4.67,5.0,4.67,4.33,1,1,1,0,0,2.05
891,within an hour,1.0,1.0,0.0,1.0,1.0,0.0,0.0,South,40.722218,-74.209427,Entire rental unit,Entire home/apt,6,2 baths,3.0,3.0,160.0,1,1125,1,1,1125,1125,1.0,1125.0,1,1,9,31,306,4,4,4,3.25,3.25,3.0,3.75,3.75,2.25,3.25,0,1,1,0,0,4.0
892,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.7183,-74.2126,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,38.0,1,90,1,1,90,90,1.0,90.0,1,13,27,46,126,7,7,6,4.57,4.43,5.0,4.86,5.0,4.14,4.43,1,4,1,2,1,5.38
893,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75654,-74.18788,Private room in home,Private room,1,1 bath,1.0,1.0,32.0,30,300,30,30,300,300,30.0,300.0,1,9,39,69,344,1,1,0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,0,50,0,50,0,0.79
894,within an hour,0.95,0.89,0.0,0.0,0.0,1.0,1.0,South,40.71234,-74.22364,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,46.0,3,20,3,3,20,20,3.0,20.0,1,25,55,85,85,1,1,1,3.0,4.0,4.0,3.0,1.0,2.0,2.0,0,3,0,3,0,1.0
895,within an hour,0.95,0.89,0.0,0.0,0.0,1.0,1.0,South,40.71183,-74.22233,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,43.0,3,365,3,3,1125,1125,3.0,1125.0,1,0,25,55,330,2,2,1,4.0,4.5,3.5,5.0,3.0,3.5,4.5,0,3,0,3,0,1.54
896,within an hour,0.95,0.89,0.0,0.0,0.0,1.0,1.0,South,40.71053,-74.22246,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,50.0,1,365,1,1,365,365,1.0,365.0,1,24,49,79,169,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,3,0,3,0,1.0
897,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.71806,-74.21231,Private room in rental unit,Private room,2,2 baths,1.0,1.0,60.0,1,25,1,1,1125,1125,1.0,1125.0,1,7,29,52,150,11,11,9,5.0,4.91,4.91,4.91,5.0,4.55,4.91,1,4,1,2,1,7.5
898,within an hour,1.0,1.0,1.0,8.0,8.0,1.0,1.0,Central,40.74548,-74.18239,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,174.0,2,365,1,2,1125,1125,2.0,1125.0,1,4,17,47,322,11,11,6,4.91,5.0,4.91,4.91,5.0,4.45,4.82,1,11,11,0,0,7.86
899,within an hour,1.0,1.0,0.0,8.0,8.0,0.0,1.0,South,40.726658,-74.214378,Entire rental unit,Entire home/apt,9,2 baths,4.0,4.0,250.0,3,365,3,3,1125,1125,3.0,1125.0,1,20,50,80,355,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,8,1,7,0,1.0
900,within an hour,1.0,1.0,1.0,12.0,12.0,1.0,1.0,Central,40.73382,-74.17637,Entire rental unit,Entire home/apt,6,2 baths,2.0,3.0,239.0,3,365,2,3,365,365,3.0,365.0,1,20,50,77,345,2,2,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,1,8,8,0,0,2.0
901,within an hour,1.0,0.97,0.0,162.0,162.0,1.0,1.0,Central,40.73459,-74.17694,Entire rental unit,Entire home/apt,5,5 baths,1.0,1.0,149.0,3,1125,3,3,1125,1125,3.0,1125.0,1,26,52,82,223,0,0,0,,,,,,,,0,13,13,0,0,
902,within an hour,1.0,1.0,0.0,8.0,8.0,0.0,1.0,South,40.72581,-74.21404,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,60.0,3,365,3,3,1125,1125,3.0,1125.0,1,19,49,79,354,0,0,0,,,,,,,,1,8,1,7,0,
903,within an hour,1.0,1.0,0.0,8.0,8.0,0.0,1.0,South,40.72757,-74.21378,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,50.0,3,365,3,3,1125,1125,3.0,1125.0,1,16,46,76,351,1,1,1,3.0,3.0,3.0,3.0,2.0,2.0,5.0,1,8,1,7,0,1.0
904,within an hour,1.0,1.0,0.0,8.0,8.0,0.0,1.0,South,40.7275,-74.2133,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,50.0,3,365,3,3,1125,1125,3.0,1125.0,1,19,49,79,354,0,0,0,,,,,,,,1,8,1,7,0,
905,within an hour,1.0,1.0,0.0,8.0,8.0,0.0,1.0,South,40.72646,-74.21328,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,49.0,3,365,3,3,1125,1125,3.0,1125.0,1,16,46,76,351,1,1,0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,1,8,1,7,0,0.94
906,within a day,0.75,0.0,0.0,2.0,2.0,1.0,1.0,South,40.708836,-74.205482,Entire home,Entire home/apt,16,2 baths,5.0,9.0,839.0,2,21,2,5,1125,1125,3.4,1125.0,1,30,60,90,90,0,0,0,,,,,,,,0,1,1,0,0,
907,within an hour,0.94,0.99,0.0,19.0,19.0,1.0,1.0,North,40.7587,-74.17279,Entire loft,Entire home/apt,4,1 bath,1.0,1.0,87.0,2,365,2,2,365,365,2.0,365.0,1,25,55,85,360,1,1,1,4.0,5.0,4.0,5.0,4.0,3.0,4.0,1,1,1,0,0,1.0
908,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.71956,-74.21405,Shared room in rental unit,Shared room,2,1 shared bath,1.0,1.0,52.0,1,365,1,1,365,365,1.0,365.0,1,23,47,77,175,6,6,5,5.0,5.0,5.0,5.0,5.0,4.83,4.67,1,4,1,2,1,4.86
909,within an hour,1.0,0.9,0.0,0.0,0.0,1.0,1.0,East,40.72493,-74.17804,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,57.0,21,365,21,21,1125,1125,21.0,1125.0,1,0,11,41,316,0,0,0,,,,,,,,1,3,3,0,0,
910,within an hour,1.0,1.0,1.0,0.0,0.0,1.0,1.0,South,40.71309,-74.21935,Entire rental unit,Entire home/apt,6,1 bath,3.0,3.0,215.0,3,14,3,3,1125,1125,3.0,1125.0,1,1,1,1,37,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,4,4,0,0,2.0
911,within a few hours,1.0,1.0,0.0,0.0,0.0,1.0,1.0,South,40.714493,-74.210571,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,75.0,30,365,30,30,365,365,30.0,365.0,1,0,4,34,309,0,0,0,,,,,,,,0,1,1,0,0,
912,within an hour,0.95,0.96,0.0,40.0,40.0,1.0,1.0,East,40.715443,-74.138306,Entire condo,Entire home/apt,7,1 bath,2.0,4.0,160.0,1,365,1,1,365,365,1.0,365.0,1,24,54,84,359,0,0,0,,,,,,,,0,3,3,0,0,
913,within an hour,0.82,1.0,0.0,1.0,1.0,1.0,1.0,North,40.760635,-74.17778,Entire condo,Entire home/apt,10,3 baths,4.0,7.0,223.0,1,28,1,1,28,28,1.0,28.0,1,9,16,33,297,2,2,2,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1,1,1,0,0,2.0
914,within an hour,0.68,1.0,0.0,0.0,0.0,1.0,1.0,East,40.729332,-74.156738,Private room in vacation home,Private room,3,1 private bath,1.0,2.0,52.0,1,365,1,1,365,365,1.0,365.0,1,9,38,68,339,0,0,0,,,,,,,,1,1,0,1,0,
915,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,1.0,West,40.73667,-74.24766,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,60.0,1,21,1,1,1125,1125,1.0,1125.0,1,4,30,60,335,1,1,1,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1,5,3,2,0,1.0
916,within an hour,1.0,0.97,0.0,6.0,6.0,1.0,1.0,South,40.72617,-74.21214,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,118.0,1,1125,1,1,1125,1125,1.0,1125.0,1,16,38,62,337,5,5,5,4.2,4.2,3.8,4.6,4.0,3.4,4.0,1,5,1,4,0,5.0
917,within an hour,1.0,0.97,0.0,6.0,6.0,1.0,1.0,South,40.72828,-74.21082,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,60.0,1,1125,1,1,1125,1125,1.0,1125.0,1,14,36,60,335,2,2,2,5.0,5.0,4.0,5.0,5.0,3.0,5.0,0,5,1,4,0,2.0
918,within an hour,1.0,0.97,0.0,6.0,6.0,1.0,1.0,South,40.72796,-74.21223,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,60.0,1,1125,1,1,1125,1125,1.0,1125.0,1,14,36,60,335,3,3,3,4.33,4.33,5.0,4.67,5.0,4.0,4.33,0,5,1,4,0,3.0
